	Quantity,	ItemName
	1.00000000,	PLANTATION 20 YR RUM 750ml
	1.00000000,	PLANTATION 20 YR RUM 750ml
	1.00000000,	PLANTATION 20 YR RUM 750ml
	1.00000000,	1800 SILVER 750ML
	2.00000000,	CAZADORES BLNCO 750ml
	1.00000000,	CAZADORES BLNCO 750ml
	1.00000000,	CAZADORES BLNCO 750ml
	5.00000000,	CAZADORES BLNCO 750ml
	1.00000000,	KHORTYTSA 1.75L
	1.00000000,	KHORTYTSA 1.75L
	1.00000000,	KHORTYTSA 1.75L
	1.00000000,	KHORTYTSA 1.75L
	2.00000000,	KHORTYTSA 1.75L
	1.00000000,	KHORTYTSA 1.75L
	1.00000000,	TITO'S VODKA 750ML
	3.00000000,	KOVAL RYE VODKA 750ML
	1.00000000,	KOVAL RYE VODKA 750ML
	1.00000000,	KOVAL RYE VODKA 750ML
	2.00000000,	KOVAL RYE VODKA 750ML
	3.00000000,	KOVAL RYE VODKA 750ML
	3.00000000,	GREY GOOSE 750ML
	1.00000000,	EFFEN CUCUMBER 750ML
	1.00000000,	BOTECO VODKA 750ML
	1.00000000,	GREY GOOSE 750ML
	1.00000000,	GREY GOOSE 750ML
	1.00000000,	GREY GOOSE 750ML
	2.00000000,	GREY GOOSE 750ML
	1.00000000,	GREY GOOSE 750ML
	1.00000000,	KHORTYTSA VODKA 750ML
	2.00000000,	KHORTYTSA VODKA 750ML
	2.00000000,	BOTECO VODKA 750ML
	1.00000000,	BOTECO VODKA 750ML
	3.00000000,	BOTECO VODKA 750ML
	3.00000000,	BOTECO VODKA 750ML
	1.00000000,	GRAND MACNISH 750ML
	1.00000000,	GRAND MACNISH 750ML
